Index,SingularValue,Energy,CumulativeEnergy
55,1007.013760,1014076.711825,99.77
56,982.934775,966160.771302,99.78
57,974.069004,948810.423782,99.79
58,945.995346,894907.195409,99.80
59,934.648586,873567.978651,99.81
60,925.000430,855625.794976,99.82
61,881.594915,777209.593527,99.82
62,878.729837,772166.125702,99.83
63,858.039870,736232.417780,99.84
64,846.215536,716080.733001,99.84
65,810.094940,656253.811018,99.85
66,799.915146,639864.240932,99.86
67,788.643970,621959.312030,99.86
68,781.084713,610093.329630,99.87
69,762.964699,582115.131862,99.87
70,748.690622,560537.646748,99.88
71,735.467134,540911.905366,99.88
72,714.184446,510059.422792,99.89
73,702.083875,492921.767364,99.89
74,686.103693,470738.277880,99.90
75,675.326812,456066.303157,99.90
76,645.822893,417087.209016,99.91
77,635.631769,404027.745926,99.91
78,626.884886,392984.659686,99.91
79,611.678004,374149.980441,99.92
80,604.420891,365324.613719,99.92
81,595.333904,354422.457531,99.93
82,585.483831,342791.315810,99.93
83,574.085938,329574.664625,99.93
84,565.529470,319823.581575,99.93
85,550.311512,302842.760157,99.94
86,531.536028,282530.548812,99.94
87,517.626079,267936.757452,99.94
88,513.088478,263259.785785,99.95
89,504.706271,254728.420362,99.95
90,479.026548,229466.433335,99.95
91,463.728809,215044.408016,99.95
92,460.274293,211852.424775,99.95
93,453.495662,205658.315889,99.96
94,443.169001,196398.763429,99.96
95,436.970199,190942.955063,99.96
96,432.702695,187231.622688,99.96
97,430.941279,185710.386025,99.96
98,419.703683,176151.181663,99.96
99,409.855688,167981.684923,99.97
100,390.947617,152840.038849,99.97
101,382.677461,146442.039163,99.97
102,379.018796,143655.247560,99.97
103,368.451797,135756.726969,99.97
104,362.403725,131336.459549,99.97
105,345.907672,119652.117877,99.97
106,338.804322,114788.368690,99.98
107,335.848041,112793.906484,99.98
108,329.966277,108877.744070,99.98
109,325.784790,106135.729377,99.98
110,318.660581,101544.565775,99.98
111,309.159291,95579.467099,99.98
112,302.729437,91645.111827,99.98
113,298.054994,88836.779392,99.98
114,288.999407,83520.657235,99.98
115,284.302784,80828.072960,99.98
116,281.414695,79194.230330,99.98
117,276.351178,76369.973570,99.99
118,265.604712,70545.862877,99.99
119,258.683042,66916.916061,99.99
120,251.558304,63281.580172,99.99
121,245.728633,60382.561073,99.99
122,242.660987,58884.354557,99.99
123,233.989136,54750.915622,99.99
124,227.623830,51812.608012,99.99
125,223.238014,49835.210790,99.99
126,220.042602,48418.746653,99.99
