Index,SingularValue,Energy,CumulativeEnergy
160,75.895246,5760.088361,99.99
161,73.092725,5342.546443,100.00
162,71.522458,5115.461957,100.00
163,69.701550,4858.306117,100.00
164,68.169610,4647.095759,100.00
165,66.671660,4445.110195,100.00
166,65.619126,4305.869639,100.00
167,63.168292,3990.233157,100.00
168,61.926923,3834.943850,100.00
169,60.939460,3713.617831,100.00
170,58.606952,3434.774815,100.00
171,56.536868,3196.417444,100.00
172,55.638903,3095.687577,100.00
173,54.248496,2942.899284,100.00
174,52.044654,2708.645968,100.00
175,51.288834,2630.544482,100.00
176,50.173151,2517.345094,100.00
177,48.897839,2390.998626,100.00
178,48.390777,2341.667321,100.00
179,46.146730,2129.520653,100.00
180,44.450935,1975.885591,100.00
181,42.724736,1825.403038,100.00
182,42.003943,1764.331229,100.00
183,41.523994,1724.242071,100.00
184,40.040373,1603.231504,100.00
185,38.107727,1452.198849,100.00
186,36.960335,1366.066384,100.00
187,35.527940,1262.234490,100.00
188,35.164692,1236.555556,100.00
189,33.260837,1106.283246,100.00
190,32.383655,1048.701118,100.00
191,31.779213,1009.918379,100.00
192,31.241052,976.003299,100.00
193,29.750451,885.089323,100.00
194,29.250514,855.592592,100.00
195,28.118373,790.642883,100.00
196,27.638139,763.866706,100.00
197,26.713517,713.611989,100.00
198,25.923577,672.031842,100.00
199,25.285684,639.365805,100.00
200,24.164634,583.929559,100.00
201,24.004314,576.207092,100.00
202,22.528759,507.544977,100.00
203,21.947615,481.697802,100.00
204,21.758166,473.417769,100.00
205,21.284952,453.049172,100.00
206,21.060225,443.533073,100.00
207,20.083869,403.361778,100.00
208,19.421552,377.196688,100.00
209,18.793746,353.204873,100.00
210,18.399691,338.548638,100.00
211,17.472031,305.271856,100.00
212,17.121461,293.144435,100.00
213,16.904590,285.765153,100.00
214,15.994368,255.819815,100.00
215,15.443414,238.499037,100.00
216,14.833995,220.047407,100.00
217,14.216629,202.112543,100.00
218,13.652298,186.385249,100.00
219,13.285194,176.496372,100.00
220,12.766671,162.987878,100.00
221,11.737723,137.774133,100.00
222,11.509033,132.457844,100.00
223,10.953759,119.984847,100.00
224,10.742995,115.411945,100.00
225,10.473379,109.691657,100.00
226,9.688854,93.873893,100.00
227,9.431862,88.960023,100.00
228,8.853803,78.389828,100.00
229,8.625167,74.393508,100.00
230,8.012293,64.196834,100.00
231,7.609454,57.903797,100.00
232,7.595934,57.698215,100.00
233,6.865997,47.141916,100.00
234,6.671434,44.508028,100.00
235,6.207797,38.536739,100.00
236,6.148579,37.805028,100.00
237,5.823972,33.918649,100.00
238,5.389018,29.041512,100.00
239,5.000123,25.001226,100.00
240,4.691027,22.005736,100.00
241,4.410728,19.454521,100.00
242,4.012757,16.102217,100.00
243,3.614400,13.063885,100.00
244,3.474026,12.068855,100.00
245,3.289283,10.819384,100.00
246,2.362263,5.580285,100.00
247,2.289528,5.241941,100.00
248,2.064323,4.261430,100.00
249,1.913663,3.662105,100.00
250,1.603299,2.570567,100.00
251,1.336840,1.787141,100.00
252,1.038018,1.077481,100.00
253,0.795483,0.632794,100.00
254,0.584700,0.341874,100.00
255,0.492612,0.242667,100.00
256,0.042069,0.001770,100.00
