k,PSNR_dB,CompressionRatio,EnergyPercent
1,12.81,127.75,88.65
5,16.42,25.55,95.05
10,17.90,12.78,96.48
25,21.26,5.11,98.38
50,25.69,2.56,99.42
75,29.47,1.70,99.75
100,33.57,1.28,99.90
150,43.97,0.85,99.99
200,57.14,0.64,100.00
256,100.00,0.50,100.00
